Timestamp,Value
1730121441.3819346,15
1730121441.5264359,15
1730121441.6538775,19
1730121441.7818422,17
1730121441.903349,16
1730121442.026777,21
1730121442.1411726,21
1730121442.2676115,19
1730121442.39405,18
1730121442.538551,18
1730121442.6669955,21
1730121442.793434,20
1730121442.9148526,18
1730121443.0432982,17
1730121443.168551,19
1730121443.2959926,17
1730121443.424438,19
1730121443.5518792,19
1730121443.680842,21
1730121443.803267,20
1730121443.9307067,18
1730121444.0581489,21
1730121444.184111,18
1730121444.3105493,18
1730121444.4359841,19
1730121444.5473702,18
1730121444.6577528,20
1730121444.7841911,21
1730121444.9106293,20
1730121445.0230188,19
1730121445.1354086,21
1730121445.247798,18
1730121445.360188,19
1730121445.4856226,20
1730121445.5970082,21
1730121445.7093956,18
1730121445.822787,19
1730121445.9482212,20
1730121446.072653,21
1730121446.2010982,17
1730121446.3255296,21
1730121446.437919,18
1730121446.5503087,22
1730121446.6626976,18
1730121446.788137,21
1730121446.9141395,17
1730121447.0265284,18
1730121447.1549737,18
1730121447.2814121,21
1730121447.411864,18
1730121447.538303,19
1730121447.6672704,20
1730121447.7927053,20
1730121447.9196646,18
1730121448.0310507,21
1730121448.1444438,19
1730121448.2688751,22
1730121448.3943102,21
1730121448.5227551,21
1730121448.6351447,20
1730121448.7485378,19
1730121448.873503,21
1730121448.9989376,21
1730121449.123887,21
1730121449.2362764,21
1730121449.355205,19
1730121449.4766266,20
1730121449.5870092,21
1730121449.714967,18
1730121449.8549776,17
1730121449.9824197,21
1730121450.1108644,18
1730121450.2332888,22
1730121450.361734,19
1730121450.4901793,18
1730121450.6186247,18
1730121450.7490761,22
1730121450.8748107,18
1730121451.0032556,21
1730121451.1317003,17
1730121451.2591422,16
1730121451.3865843,16
1730121451.5130227,16
1730121451.6434746,17
1730121451.7854803,16
1730121451.9124262,16
1730121452.0358536,16
1730121452.1663055,16
1730121452.292744,17
1730121452.4231954,16
1730121452.5465677,16
1730121452.6738918,15
1730121452.8003304,20
1730121452.9253006,19
1730121453.053746,21
1730121453.183194,19
1730121453.3086295,21
1730121453.4340641,20
1730121453.5615053,18
1730121453.690477,19
1730121453.8149076,21
1730121453.9403434,21
1730121454.065777,19
1730121454.1922162,21
1730121454.304605,20
1730121454.433051,22
1730121454.5584857,20
1730121454.6839201,19
1730121454.8123655,20
1730121454.9234533,19
1730121455.0358436,22
1730121455.1602745,21
1730121455.2887197,18
1730121455.40111,18
1730121455.5255406,15
1730121455.6537364,18
1730121455.778691,20
1730121455.890077,21
1730121456.0185232,19
