Timestamp,Value
1730122439.9559994,15
1730122440.094479,15
1730122440.2329595,20
1730122440.3624115,18
1730122440.4868398,21
1730122440.613278,20
1730122440.7437298,21
1730122440.8681614,18
1730122440.9925928,21
1730122441.1210382,19
1730122441.2474763,21
1730122441.3759217,18
1730122441.504367,20
1730122441.6287982,19
1730122441.7582467,20
1730122441.8872106,20
1730122442.0141706,20
1730122442.1386018,20
1730122442.2650394,18
1730122442.395492,22
1730122442.5187597,20
1730122442.6462014,22
1730122442.7716362,21
1730122442.8970704,19
1730122443.009461,21
1730122443.137906,21
1730122443.2502954,22
1730122443.3807476,21
1730122443.5091913,20
1730122443.6356294,18
1730122443.7640746,20
1730122443.8925195,21
1730122444.0184803,20
1730122444.1429117,18
1730122444.2713563,22
1730122444.3957908,18
1730122444.5262377,22
1730122444.6546826,20
1730122444.781121,19
1730122444.9095664,21
1730122445.0540671,20
1730122445.1784985,20
1730122445.307947,19
1730122445.4353893,18
1730122445.5668426,19
1730122445.6902704,17
1730122445.8207226,20
1730122445.9466746,20
1730122446.0721092,19
1730122446.2025616,17
1730122446.3289998,21
1730122446.4393826,22
1730122446.5675771,19
1730122446.7100716,17
1730122446.8385167,21
1730122446.9624708,18
1730122447.090916,18
1730122447.2173545,20
1730122447.3457994,19
1730122447.4738598,19
1730122447.6002977,22
1730122447.7287433,19
1730122447.8571887,20
1730122447.982141,19
1730122448.1095824,21
1730122448.232007,21
1730122448.3443964,20
1730122448.456783,22
1730122448.5832205,18
1730122448.7116666,20
1730122448.840112,21
1730122448.965547,21
1730122449.090242,19
1730122449.2146728,18
1730122449.3257926,21
1730122449.450861,18
1730122449.578313,22
1730122449.6907027,17
1730122449.8191483,16
1730122449.9481199,16
1730122450.0735548,16
1730122450.1859446,17
1730122450.3123825,16
1730122450.422765,16
1730122450.5487368,17
1730122450.6611261,16
1730122450.771509,16
1730122450.8969436,17
1730122451.0225542,16
1730122451.1476607,15
1730122451.2600498,21
1730122451.370433,20
1730122451.489844,16
1730122451.6132727,18
1730122451.7236545,20
1730122451.8500905,18
1730122451.9886122,19
1730122452.0989943,16
1730122452.229447,19
1730122452.3578923,20
1730122452.5019271,21
1730122452.6273615,20
1730122452.7527966,20
1730122452.8832488,18
1730122453.0116935,20
1730122453.1401393,21
1730122453.2645707,20
1730122453.3890018,18
1730122453.5179799,22
1730122453.643414,20
1730122453.7728634,21
1730122453.9003055,19
1730122454.042312,21
1730122454.1547017,20
1730122454.2791326,18
1730122454.4075782,21
1730122454.5340168,18
1730122454.662462,21
1730122454.7919102,18
1730122454.9173455,22
1730122455.0456283,18
1730122455.1720665,19
1730122455.3005123,18
1730122455.4289575,21
1730122455.5554872,20
1730122455.6839323,22
1730122455.812378,19
1730122455.939334,19
1730122456.0647693,18
1730122456.1932144,21
1730122456.319653,18
1730122456.4320421,20
1730122456.5580063,20
1730122456.6693926,19
1730122456.796834,19
1730122456.9227877,21
1730122457.0341737,21
1730122457.1465628,19
1730122457.2589552,20
1730122457.387398,20
1730122457.5033267,19
1730122457.629765,22
1730122457.756203,20
1730122457.8826416,17
1730122458.0166183,17
1730122458.1400466,21
1730122458.2654812,20
1730122458.3788745,19
1730122458.5033038,20
1730122458.630745,19
1730122458.75919,21
1730122458.889642,18
1730122459.019091,20
1730122459.1470532,18
1730122459.271485,20
1730122459.412498,19
1730122459.5385022,21
1730122459.6659434,20
1730122459.7913787,18
1730122459.9188201,17
1730122460.0433354,21
1730122460.1697733,21
1730122460.2992218,20
1730122460.4306781,19
1730122460.560654,19
1730122460.67505,18
1730122460.802492,16
1730122460.9269238,16
1730122461.0533621,17
1730122461.1798003,16
1730122461.3082457,16
1730122461.4376936,16
1730122461.562657,16
1730122461.687089,16
1730122461.8165371,16
1730122461.9560955,16
1730122462.0825338,16
1730122462.209626,16
1730122462.3340573,15
1730122462.4614992,22
1730122462.5879357,22
1730122462.7173836,19
1730122462.8408115,21
1730122462.969257,19
1730122463.0977025,19
1730122463.2239199,19
1730122463.3503575,18
1730122463.4783244,19
1730122463.6027555,19
1730122463.7291942,22
1730122463.8556328,19
1730122463.9976456,21
1730122464.1100347,20
1730122464.2339811,20
1730122464.3644328,22
1730122464.491875,18
1730122464.6313586,20
1730122464.7437496,20
1730122464.8721933,19
1730122464.9996364,20
1730122465.1270769,22
1730122465.2384632,21
1730122465.349849,20
1730122465.4762876,20
1730122465.6027253,19
1730122465.7151155,22
1730122465.8435607,21
1730122465.955455,21
1730122466.0818934,20
1730122466.1932795,21
1730122466.321725,20
1730122466.4341137,20
1730122466.5645664,19
1730122466.6940153,16
1730122466.8194497,22
1730122466.9283385,19
1730122467.0748463,20
1730122467.2032914,19
1730122467.3297296,18
1730122467.4571717,20
1730122467.5816028,18
