Timestamp,Value
1730121940.1929524,15
1730121940.3213978,15
1730121940.449844,20
1730121940.5762823,19
1730121940.706734,19
1730121940.8331723,22
1730121940.9576042,20
1730121941.086049,21
1730121941.2134879,18
1730121941.3409295,22
1730121941.4713912,19
1730121941.6118689,19
1730121941.738307,21
1730121941.8628047,19
1730121941.99125,18
1730121942.115681,19
1730121942.2421162,18
1730121942.3665473,20
1730121942.494993,19
1730121942.6234376,20
1730121942.7498758,20
1730121942.8783216,22
1730121943.0047598,19
1730121943.1309645,21
1730121943.2523856,20
1730121943.381834,19
1730121943.5102794,19
1730121943.637721,20
1730121943.7611492,19
1730121943.8881092,20
1730121944.0175583,18
1730121944.1425197,20
1730121944.2659478,18
1730121944.3963993,21
1730121944.5248451,20
1730121944.6512833,18
1730121944.7767181,20
1730121944.9061668,20
1730121945.0326052,20
1730121945.1595743,18
1730121945.2870162,19
1730121945.4154606,18
1730121945.5418994,21
1730121945.6713474,18
1730121945.7967827,21
1730121945.923739,19
1730121946.0521846,18
1730121946.1806295,20
1730121946.3090746,21
1730121946.4375193,19
1730121946.5659654,20
1730121946.6944096,19
1730121946.820849,22
1730121946.9658694,19
1730121947.093311,21
1730121947.2197495,20
1730121947.3481946,18
1730121947.470619,17
1730121947.5990644,18
1730121947.7104502,22
1730121947.8374052,19
1730121947.9518013,20
1730121948.0782394,19
1730121948.2052531,22
1730121948.3316908,19
1730121948.4591331,22
1730121948.5875783,19
1730121948.6989646,20
1730121948.8113534,20
1730121948.923743,22
1730121949.0501814,22
1730121949.1616127,22
1730121949.2880523,19
1730121949.4140055,20
1730121949.5263941,18
1730121949.653836,19
1730121949.7792711,19
1730121949.9062288,16
1730121950.0246396,17
1730121950.14606,16
1730121950.2755086,16
1730121950.4029508,16
1730121950.5303924,16
1730121950.6498063,17
1730121950.7772477,16
1730121950.9006755,16
1730121951.0311282,16
1730121951.1580951,16
1730121951.2821367,16
1730121951.4105816,19
1730121951.5390272,21
1730121951.6634583,19
1730121951.7909,18
1730121951.9144826,20
1730121952.0429275,19
1730121952.1733773,19
1730121952.3118575,20
1730121952.4382956,21
1730121952.564734,21
1730121952.6941824,17
1730121952.823631,17
1730121952.9460554,21
1730121953.070487,20
1730121953.2008336,20
1730121953.327272,18
1730121953.4547136,19
1730121953.5821555,18
1730121953.7085936,21
1730121953.8345444,18
1730121953.9619856,18
1730121954.0894275,20
1730121954.2158656,20
1730121954.3423045,20
1730121954.4697459,18
1730121954.597188,20
1730121954.7256334,20
1730121954.856085,20
1730121954.9965725,21
1730121955.1200004,20
1730121955.249449,19
1730121955.376891,17
1730121955.5003183,21
1730121955.6307707,20
1730121955.7592154,21
1730121955.88317,19
1730121956.0116143,19
1730121956.1400576,19
1730121956.2674997,18
1730121956.3949409,20
1730121956.5233865,20
1730121956.647077,19
1730121956.7755222,19
1730121956.90147,21
1730121957.0118523,19
1730121957.124242,22
1730121957.2502382,22
1730121957.3746698,21
1730121957.487059,20
1730121957.6150656,20
1730121957.739497,18
1730121957.8513997,18
1730121957.9778378,16
1730121958.1022692,17
1730121958.2287047,19
1730121958.3410938,19
1730121958.4554908,20
1730121958.5698867,16
1730121958.712381,20
1730121958.839823,17
1730121958.9652574,17
1730121959.0922048,16
1730121959.2196434,22
1730121959.3325462,20
1730121959.4700227,20
1730121959.6004744,18
1730121959.7289195,22
1730121959.854871,18
1730121959.9833162,19
1730121960.1097543,18
1730121960.2517793,19
1730121960.364169,21
1730121960.4946206,20
1730121960.6230662,21
1730121960.7515113,20
1730121960.8799565,22
1730121961.0033844,19
1730121961.130826,16
1730121961.258268,16
1730121961.3837032,17
1730121961.4960926,17
1730121961.6225307,16
1730121961.749973,16
1730121961.860874,16
1730121961.9717736,17
1730121962.098212,16
1730121962.210599,16
1730121962.3370368,17
1730121962.4625585,16
1730121962.5894153,15
1730121962.701804,21
1730121962.8282433,22
1730121962.9546816,20
1730121963.0811195,21
1730121963.2071111,20
1730121963.3325458,21
1730121963.4609914,22
1730121963.5894358,19
1730121963.715875,22
1730121963.8598945,20
1730121963.9823189,17
1730121964.112771,21
1730121964.2412155,18
1730121964.369661,19
1730121964.4961,20
1730121964.624545,19
1730121964.7489762,18
1730121964.8794963,21
1730121965.0079415,20
1730121965.1363866,21
1730121965.262825,20
1730121965.39127,21
1730121965.5157015,18
1730121965.6441467,22
1730121965.7695816,20
1730121965.896543,22
1730121966.0229812,20
1730121966.151424,18
1730121966.2778625,21
1730121966.4043007,20
1730121966.5327463,21
1730121966.6591845,19
1730121966.7836158,20
1730121966.9125822,20
1730121967.0560799,18
1730121967.1825151,17
1730121967.3079498,20
1730121967.4183323,22
1730121967.546778,19
1730121967.6747043,21
1730121967.8031495,19
1730121967.9270875,21
1730121968.054529,21
1730121968.1839762,19
1730121968.3104143,19
1730121968.4408667,18
1730121968.5683086,17
