Epoch,Memory,Power,Utilization,Val_Acc
0,31751,,53,0.9105999809503558
1,31751,,54,0.9421999830007554
2,31751,,46,0.9553999811410906
3,31751,,52,0.9497999823093419
4,31751,,53,0.9617999762296683
5,31751,,32,0.9703999716043477
6,31751,,35,0.9626999753713615
7,31751,,34,0.9684999716281896
8,31751,,32,0.9697999739646919
9,31751,,53,0.9743999701738368
10,31751,,54,0.9736999696493154
11,31751,,56,0.9734999716281898
12,31751,,38,0.9728999698162085
13,31751,,42,0.9764999687671668
14,31751,,53,0.9755999702215201
15,31751,,35,0.974199971556664
16,31751,,36,0.9792999666929249
17,31751,,36,0.9711999708414085
18,31751,,39,0.9755999702215201
19,31751,,49,0.9779999673366552
20,31751,,52,0.9765999680757529
21,31751,,54,0.9753999710083016
22,31751,,21,0.979299966096879
23,31751,,35,0.9751999682188045
24,31751,,36,0.9786999690532692
25,31751,,33,0.9770999687910087
26,31751,,53,0.9759999698400507
27,31751,,33,0.9794999659061436
28,31751,,48,0.9761999678611762
29,31751,,54,0.9749999672174455
30,31751,,54,0.9787999683618555
31,31751,,53,0.9781999659538274
32,31751,,30,0.9788999694585808
33,31751,,34,0.9782999646663674
34,31751,,36,0.9804999691247942
35,31751,,36,0.9791999685764317
36,31751,,49,0.9785999655723574
37,31751,,54,0.9801999652385717
38,31751,,54,0.9783999681472783
39,31751,,37,0.9794999670982365
40,31751,,36,0.980499967336655
41,31751,,37,0.9798999679088596
42,31751,,36,0.9812999689579017
43,31751,,34,0.9794999688863758
44,31751,,49,0.9807999706268318
45,31751,,55,0.9805999642610554
46,31751,,52,0.9817999672889717
47,31751,,51,0.9801999664306649
48,31751,,37,0.982199966311455
49,31751,,36,0.9779999697208411
50,31751,,39,0.9807999682426457
51,31751,,53,0.9807999694347385
52,31751,,53,0.9796999680995945
53,31751,,31,0.9819999665021899
54,31751,,37,0.980699966549874
55,31751,,37,0.9794999670982365
56,31751,,37,0.9816999667882923
57,31751,,37,0.9823999673128133
58,31751,,34,0.9821999663114553
59,31751,,37,0.982399965524674
60,31751,,37,0.9811999660730365
61,31751,,36,0.9827999657392508
62,31751,,47,0.9821999686956407
63,31751,,53,0.9817999696731567
64,31751,,50,0.9828999668359761
65,31751,,53,0.9828999680280688
66,31751,,55,0.983199968338013
67,31751,,36,0.9828999668359762
68,31751,,35,0.9827999681234362
69,31751,,35,0.9831999653577809
70,31751,,26,0.9818999701738358
71,31751,,37,0.9833999681472779
72,31751,,50,0.9828999680280687
73,31751,,52,0.9833999675512316
74,31751,,53,0.9835999685525898
75,31751,,36,0.9830999708175666
76,31751,,33,0.9827999657392507
77,31751,,54,0.9836999678611759
78,31751,,55,0.982799965143204
79,31751,,37,0.9826999676227574
80,31751,,36,0.9839999675750738
81,31751,,34,0.9835999697446827
82,31751,,51,0.9837999689579014
83,31751,,53,0.9831999677419667
84,31751,,54,0.9835999661684041
85,31751,,45,0.9834999674558644
86,31751,,32,0.9832999682426455
87,31751,,36,0.9832999694347386
88,31751,,37,0.9833999681472781
89,31751,,55,0.983699969053269
90,31751,,34,0.9835999685525898
91,31751,,31,0.9832999670505527
92,31751,,51,0.9834999686479573
93,31751,,54,0.9835999685525899
94,31751,,54,0.9836999672651298
95,31751,,54,0.9834999680519109
96,31751,,30,0.9836999678611759
97,31751,,37,0.9837999689579016
98,31751,,37,0.9838999688625341
99,31751,,36,0.9838999688625341
