Timestamp,Value
1730123427.4191358,13
1730123427.5435677,13
1730123427.6880686,15
1730123427.814507,20
1730123427.9409454,20
1730123428.0693905,18
1730123428.1973703,21
1730123428.3213193,19
1730123428.4477577,22
1730123428.576203,19
1730123428.702641,19
1730123428.8310866,20
1730123428.9575248,20
1730123429.087977,20
1730123429.2124767,21
1730123429.3409216,20
1730123429.4678795,21
1730123429.5943182,21
1730123429.7197526,19
1730123429.8461916,22
1730123429.9575784,20
1730123430.0840158,20
1730123430.2093663,19
1730123430.3343093,18
1730123430.4617515,21
1730123430.5741415,20
1730123430.7005796,20
1730123430.8129694,21
1730123430.9253585,20
1730123431.050794,18
1730123431.1627078,22
1730123431.2771044,18
1730123431.4015357,20
1730123431.5360017,19
1730123431.658426,17
1730123431.789882,16
1730123431.9103754,21
1730123432.039824,20
1730123432.1647813,19
1730123432.2917445,17
1730123432.4171793,21
1730123432.546628,18
1730123432.6730661,20
1730123432.8035185,18
1730123432.9319637,19
1730123433.0584018,20
1730123433.1823614,21
1730123433.309803,18
1730123433.437245,20
1730123433.5636828,19
1730123433.6921284,19
1730123433.8165598,19
1730123433.9460082,21
1730123434.0714436,22
1730123434.1974142,21
1730123434.3083174,21
1730123434.4367626,19
1730123434.563201,21
1730123434.6745865,20
1730123434.802029,22
1730123434.9294708,21
1730123435.0549057,20
1730123435.1798718,19
1730123435.308317,21
1730123435.4357588,20
1730123435.561328,19
1730123435.6737177,21
1730123435.7991524,18
1730123435.924587,22
1730123436.0379796,21
1730123436.164944,21
1730123436.2893825,20
1730123436.4158206,21
1730123436.5442657,19
1730123436.6566553,18
1730123436.7810867,20
1730123436.908049,21
1730123437.0354908,20
1730123437.1600509,16
1730123437.2714374,16
1730123437.4008865,16
1730123437.5102656,17
1730123437.6427252,16
1730123437.7822082,16
1730123437.9116569,16
1730123438.0240467,16
1730123438.152017,16
1730123438.2940333,17
1730123438.4224792,16
1730123438.547553,16
1730123438.6749945,15
1730123438.7893918,20
1730123438.9168332,18
1730123439.040261,21
1730123439.170228,19
1730123439.2966666,22
1730123439.421613,19
1730123439.5490546,18
1730123439.6775014,21
1730123439.7999249,20
1730123439.9303772,22
1730123440.0608292,19
1730123440.1872647,19
1730123440.3132172,20
1730123440.4396548,21
1730123440.566094,18
1730123440.692532,21
1730123440.8209777,20
1730123440.949422,19
1730123441.075861,20
1730123441.2060351,19
1730123441.3324728,20
1730123441.4569044,19
1730123441.5833433,19
1730123441.7127914,19
1730123441.8362198,22
1730123441.9621677,20
1730123442.0926204,18
1730123442.2195866,20
1730123442.3435335,19
1730123442.472982,21
1730123442.6134691,20
1730123442.7389038,20
1730123442.867349,20
1730123442.9957936,21
1730123443.1081815,20
1730123443.2356231,21
1730123443.3470094,22
1730123443.4744515,21
1730123443.6028967,21
1730123443.7283316,21
1730123443.8537662,22
1730123443.981208,19
1730123444.1096501,22
1730123444.2220402,20
1730123444.34799,21
1730123444.4734247,21
1730123444.5968533,21
1730123444.7227948,21
1730123444.834181,20
1730123444.9626255,20
1730123445.0750158,19
1730123445.1894124,20
1730123445.3188603,20
1730123445.4422886,19
1730123445.56973,18
1730123445.6991787,17
1730123445.8256173,20
1730123445.954063,18
1730123446.0825078,19
1730123446.2109506,19
1730123446.3529575,20
1730123446.4623363,21
1730123446.5917845,20
1730123446.7202303,18
1730123446.844661,20
1730123446.971614,21
1730123447.10006,21
1730123447.2303767,18
1730123447.3698597,19
1730123447.5023193,20
1730123447.6277542,18
1730123447.7572029,16
1730123447.8806307,21
1730123448.0070689,20
1730123448.1340272,19
1730123448.2619822,16
1730123448.3904269,16
1730123448.5158622,16
1730123448.6412983,17
1730123448.770745,16
1730123448.8981872,16
1730123449.0266323,16
1730123449.1525896,16
1730123449.2810345,16
1730123449.4089935,16
1730123449.5350692,16
1730123449.6607192,15
1730123449.7861538,18
1730123449.913596,18
1730123450.039031,21
1730123450.169481,19
1730123450.294914,22
1730123450.4243624,20
1730123450.565853,20
1730123450.7073436,21
1730123450.8287644,18
1730123450.941154,18
1730123451.0655856,22
1730123451.1980422,19
1730123451.335519,21
1730123451.4599504,19
1730123451.5723403,17
1730123451.7027917,21
1730123451.82923,18
1730123451.953678,20
1730123452.0821228,20
1730123452.2105663,22
1730123452.336517,18
1730123452.4609485,19
1730123452.5873868,20
1730123452.7158325,19
1730123452.8417902,21
1730123452.970235,18
1730123453.0946665,22
1730123453.2216578,18
1730123453.3480964,21
1730123453.459487,21
1730123453.586924,22
1730123453.7153697,20
1730123453.8277588,18
1730123453.953194,19
1730123454.0806353,21
1730123454.2081265,20
1730123454.3190267,19
1730123454.4444616,21
1730123454.5558486,19
1730123454.668238,20
1730123454.7826345,16
1730123454.9100761,20
1730123455.038521,19
1730123455.1709802,17
1730123455.2913973,21
1730123455.402784,21
1730123455.533236,18
1730123455.6606774,20
1730123455.7991586,19
1730123455.9265995,17
1730123456.055045,21
1730123456.182486,18
1730123456.3104403,20
1730123456.449924,20
1730123456.5623128,18
1730123456.6747031,21
1730123456.7860892,21
1730123456.9150438,18
1730123457.0394752,18
1730123457.1503983,20
1730123457.274829,19
1730123457.4002643,21
1730123457.512653,19
1730123457.6431057,20
1730123457.7695436,18
1730123457.8999958,22
1730123458.0264344,22
1730123458.1548796,19
1730123458.2828443,19
1730123458.409283,20
1730123458.5337133,20
1730123458.6621594,21
1730123458.788597,18
1730123458.9170423,20
1730123459.0454876,19
1730123459.1890259,21
1730123459.311451,16
1730123459.441439,16
1730123459.5698843,17
1730123459.6943157,16
1730123459.8247674,17
1730123459.9532127,16
1730123460.0796514,16
1730123460.210101,16
1730123460.3370576,16
1730123460.4614892,16
1730123460.5911732,17
1730123460.7180314,15
1730123460.8424633,20
1730123460.974922,20
1730123461.0973463,18
1730123461.223302,22
1730123461.3487368,19
1730123461.4731677,21
1730123461.5986028,20
1730123461.7119956,20
1730123461.823382,22
1730123461.9488354,19
1730123462.0762777,21
1730123462.1886647,20
1730123462.314624,22
1730123462.4270136,21
1730123462.553452,18
1730123462.6658416,18
1730123462.7802384,20
1730123462.9096868,19
1730123463.042146,17
1730123463.162562,18
1730123463.2739477,22
1730123463.4043996,18
1730123463.5288305,20
1730123463.659283,19
1730123463.786725,21
1730123463.914167,18
1730123464.0596707,19
1730123464.1871128,17
1730123464.3000226,21
1730123464.425457,18
1730123464.5659437,19
1730123464.6913786,21
1730123464.8208272,18
1730123464.947266,21
1730123465.0777178,18
1730123465.2016814,19
1730123465.3281195,21
1730123465.4565647,21
1730123465.5850096,19
1730123465.7114477,18
1730123465.8398933,20
1730123465.968339,21
1730123466.0957806,19
1730123466.2367775,21
1730123466.349168,20
1730123466.476609,17
1730123466.5889993,20
1730123466.7013884,21
1730123466.8258202,20
1730123466.9537816,18
1730123467.0802205,21
1730123467.2072077,20
1730123467.3336465,21
1730123467.4620912,18
1730123467.5935478,21
1730123467.7360413,18
1730123467.8454206,22
1730123467.974869,18
1730123468.1023111,21
1730123468.2307563,19
1730123468.356698,22
1730123468.485144,20
1730123468.6105785,20
1730123468.7219648,21
1730123468.8484023,21
1730123468.9758446,20
1730123469.0872307,18
1730123469.213699,20
1730123469.3421445,21
1730123469.469104,21
1730123469.5814939,20
1730123469.6938834,22
1730123469.8203216,21
1730123469.94676,19
1730123470.0711915,22
1730123470.1976259,19
1730123470.3095198,17
1730123470.42191,16
1730123470.5503554,16
1730123470.662745,16
1730123470.7881799,16
1730123470.914618,16
1730123471.0420597,16
1730123471.153988,16
