Timestamp,Value
1730124413.3674679,15
1730124413.504944,16
1730124413.6323864,17
1730124413.7588243,21
1730124413.8852634,18
1730124414.013708,20
1730124414.1386573,20
1730124414.266099,19
1730124414.394544,20
1730124414.5225024,18
1730124414.6489408,19
1730124414.7744288,18
1730124414.9028745,21
1730124415.029312,18
1730124415.1577578,19
1730124415.2821882,20
1730124415.4086277,21
1730124415.5340624,19
1730124415.6454482,19
1730124415.7588382,21
1730124415.8862798,20
1730124416.013721,20
1730124416.141164,21
1730124416.2535532,22
1730124416.3799913,21
1730124416.4923809,20
1730124416.6183348,21
1730124416.7307844,20
1730124416.8592265,20
1730124416.9721339,17
1730124417.1005793,17
1730124417.2129679,19
1730124417.3534555,19
1730124417.480897,18
1730124417.6083386,17
1730124417.7307634,20
1730124417.85742,19
1730124417.9828544,17
1730124418.1113,21
1730124418.2377381,19
1730124418.3772218,21
1730124418.4886076,21
1730124418.6165745,19
1730124418.742641,18
1730124418.8700824,19
1730124418.9985278,20
1730124419.124966,19
1730124419.2509127,19
1730124419.381365,20
1730124419.5063124,18
1730124419.632751,21
1730124419.7611945,18
1730124419.8896391,20
1730124420.015074,19
1730124420.1425161,20
1730124420.2709608,21
1730124420.4004102,20
1730124420.5384035,20
1730124420.665845,17
1730124420.795292,21
1730124420.9187198,18
1730124421.0491714,21
1730124421.1756103,17
1730124421.3040555,19
1730124421.4325004,19
1730124421.5609462,19
1730124421.6913981,18
1730124421.8178332,20
1730124421.9432845,18
1730124422.07173,19
1730124422.200175,20
1730124422.3286219,20
1730124422.4550586,18
1730124422.5830226,22
1730124422.72351,20
1730124422.8519547,19
1730124422.9803998,21
1730124423.108845,17
1730124423.2312696,16
1730124423.3607185,16
1730124423.4881606,16
1730124423.614599,16
1730124423.74057,16
1730124423.8690152,16
1730124423.9934464,16
1730124424.122895,16
1730124424.2483299,16
1730124424.3767753,16
1730124424.5045629,16
1730124424.627886,15
1730124424.7563324,21
1730124424.884777,20
1730124425.0122194,19
1730124425.139661,21
1730124425.2510474,20
1730124425.3624332,20
1730124425.4748218,20
1730124425.6022646,20
1730124425.7136507,19
1730124425.8245943,21
1730124425.9369843,18
1730124426.0634224,17
1730124426.1938746,17
1730124426.3173025,17
1730124426.4266813,21
1730124426.570698,21
1730124426.6971364,17
1730124426.8251202,19
1730124426.95108,19
1730124427.0815322,20
1730124427.2059636,18
1730124427.332402,19
1730124427.4588404,18
1730124427.57123,18
1730124427.699675,19
1730124427.8266413,21
1730124427.9520762,18
1730124428.0785146,18
1730124428.2049532,19
1730124428.3313909,20
1730124428.459836,20
1730124428.5888023,21
1730124428.715241,20
1730124428.8416767,18
1730124428.9661078,20
1730124429.0935495,19
1730124429.2195044,21
1730124429.345943,21
1730124429.4779115,18
1730124429.6003356,19
1730124429.728781,19
1730124429.8551345,21
1730124429.9835794,19
1730124430.1120245,20
1730124430.2404697,19
1730124430.3689146,21
1730124430.5139291,19
1730124430.6403682,21
1730124430.7653167,19
1730124430.8917544,18
1730124431.018193,22
1730124431.1476417,21
1730124431.2750835,22
1730124431.4035287,20
1730124431.5299668,18
1730124431.6584122,19
1730124431.7860274,22
1730124431.9117794,19
1730124432.03872,21
1730124432.164216,20
1730124432.2946677,18
1730124432.4231136,17
1730124432.5480611,20
1730124432.6734958,21
1730124432.7994611,20
1730124432.9238923,21
1730124433.0503302,20
1730124433.178776,19
1730124433.3052142,21
1730124433.433659,19
1730124433.5641117,21
1730124433.688543,19
1730124433.8135045,18
1730124433.9409463,20
1730124434.0693905,20
1730124434.195829,17
1730124434.3222675,17
1730124434.4507134,16
1730124434.5626209,17
1730124434.6890588,17
1730124434.801446,16
1730124434.9258773,16
1730124435.038267,16
1730124435.1486495,16
1730124435.261039,16
1730124435.3884802,16
1730124435.5135684,17
1730124435.639718,15
1730124435.7681634,21
1730124435.8785467,19
1730124436.003981,21
1730124436.119381,19
1730124436.243813,20
1730124436.372258,18
1730124436.5007026,17
1730124436.6266603,21
1730124436.7530956,18
1730124436.8775268,15
1730124436.9899166,18
1730124437.119365,18
1730124437.2448,17
1730124437.3732455,16
1730124437.4996836,17
1730124437.628129,18
1730124437.753561,16
1730124437.8810027,21
1730124438.0104506,20
1730124438.1499343,21
1730124438.2783797,17
1730124438.4068246,18
1730124438.5347853,18
1730124438.661224,19
1730124438.787506,21
1730124438.9179583,19
1730124439.0443966,18
1730124439.1728415,19
1730124439.303294,21
1730124439.429732,18
1730124439.5556939,21
1730124439.682132,20
1730124439.8125815,20
1730124439.9390206,20
1730124440.0674658,21
1730124440.1939037,19
1730124440.3193386,22
1730124440.4307249,21
1730124440.5576904,21
1730124440.681118,21
1730124440.7928572,21
1730124440.9032397,19
1730124441.0156288,19
1730124441.1430705,21
1730124441.269509,19
1730124441.3969507,19
1730124441.509342,20
1730124441.6217299,18
1730124441.7501726,21
1730124441.8784258,18
1730124442.0033696,20
1730124442.1318145,19
1730124442.256246,18
1730124442.3866978,20
1730124442.5146625,21
1730124442.6411,18
1730124442.7655323,21
1730124442.892974,20
1730124443.0184088,21
1730124443.148268,21
1730124443.2747056,18
1730124443.400141,22
1730124443.5275822,20
1730124443.6560283,22
1730124443.7840052,19
1730124443.9254954,20
1730124444.0509307,17
1730124444.178893,19
1730124444.3033245,19
1730124444.4317713,21
1730124444.558717,18
1730124444.6851554,19
1730124444.8115933,20
1730124444.938032,19
1730124445.0644705,19
1730124445.1889017,18
1730124445.3143358,20
1730124445.439771,19
1730124445.5682158,17
1730124445.694655,16
1730124445.8216395,17
1730124445.949081,16
1730124446.0775263,16
1730124446.207979,16
1730124446.3283963,16
1730124446.456841,16
1730124446.5838046,17
1730124446.6951907,16
1730124446.823633,16
1730124446.9485338,17
1730124447.0590658,15
1730124447.1855044,19
1730124447.3119428,21
1730124447.4383812,19
1730124447.565823,22
1730124447.678213,21
1730124447.8046482,21
1730124447.917037,19
1730124448.0284238,22
1730124448.1418169,19
1730124448.2732728,17
1730124448.3977036,19
1730124448.523661,19
1730124448.649096,21
1730124448.761483,19
1730124448.906987,20
1730124449.0344288,17
1730124449.1628742,18
1730124449.2868266,18
1730124449.413265,18
1730124449.5407066,20
1730124449.6681485,18
1730124449.7975945,19
1730124449.9250362,22
1730124450.0534816,19
1730124450.17992,18
1730124450.3083653,19
1730124450.4368103,21
1730124450.5637825,19
1730124450.6902206,19
1730124450.819193,19
1730124450.946635,21
1730124451.0730731,20
1730124451.2015188,20
1730124451.3279564,20
1730124451.4564018,18
1730124451.5848477,21
1730124451.725334,19
1730124451.8568153,21
1730124451.981765,19
1730124452.118238,17
1730124452.2366488,18
1730124452.3671007,17
1730124452.491532,19
1730124452.6194842,20
1730124452.7479296,21
1730124452.8763719,18
1730124453.0048175,21
1730124453.1312554,18
1730124453.2556868,21
1730124453.3821254,19
1730124453.5105703,18
1730124453.637009,19
1730124453.7649806,21
1730124453.8894122,19
1730124454.0158508,18
1730124454.1432922,21
1730124454.2847831,21
1730124454.413228,18
1730124454.5391839,20
1730124454.6666255,18
1730124454.7915769,20
1730124454.920022,19
1730124455.0484674,21
1730124455.1769128,20
1730124455.3033507,18
1730124455.4317963,20
1730124455.55945,21
1730124455.6878953,18
1730124455.8153343,21
1730124455.9447832,19
1730124456.0712206,22
1730124456.1976595,18
1730124456.3281121,20
1730124456.4545496,19
1730124456.5815015,17
1730124456.7249994,16
1730124456.8534448,16
1730124456.9792924,17
1730124457.1077375,16
1730124457.2361846,17
1730124457.3646286,16
1730124457.4910672,16
1730124457.6215186,16
1730124457.7489605,16
1730124457.8743382,16
1730124458.0014331,16
1730124458.1297855,15
1730124458.2582304,18
1730124458.3826628,20
1730124458.5131142,21
1730124458.6415904,19
1730124458.7680268,20
1730124458.8964727,19
1730124459.0249174,20
1730124459.1513557,20
1730124459.2783265,20
1730124459.4057682,20
1730124459.5320055,18
1730124459.6584444,21
1730124459.7868872,19
1730124459.899277,22
1730124460.0116668,19
1730124460.138105,20
1730124460.264543,18
1730124460.3929884,18
1730124460.5219572,20
1730124460.6504018,21
1730124460.7768373,18
1730124460.907289,19
1730124461.0337276,18
1730124461.1621733,21
1730124461.2886114,20
1730124461.4190636,20
1730124461.5424914,18
1730124461.6699333,22
1730124461.7963717,19
1730124461.9263375,20
1730124462.0547822,20
1730124462.1792135,17
1730124462.3076596,19
1730124462.4361045,21
1730124462.5470028,20
1730124462.6724367,21
1730124462.784355,22
1730124462.9097888,19
1730124463.0372314,21
1730124463.1646729,19
1730124463.290108,21
1730124463.402497,20
1730124463.5148873,21
1730124463.6272767,18
1730124463.7476943,20
1730124463.870116,17
1730124463.9804988,20
1730124464.1109512,21
1730124464.237389,19
1730124464.3658342,21
1730124464.4922724,20
1730124464.619227,21
1730124464.7486763,20
1730124464.8715415,18
1730124464.9999871,22
1730124465.142481,19
1730124465.2558737,21
1730124465.3833158,20
1730124465.509754,22
1730124465.6402066,19
1730124465.7665098,22
1730124465.8949556,20
1730124466.0193856,21
1730124466.1478312,20
1730124466.2742689,18
1730124466.402715,22
1730124466.5312645,19
1730124466.6566992,20
1730124466.7826555,19
1730124466.908611,18
1730124467.0350494,22
1730124467.1614876,19
1730124467.2889287,21
1730124467.416371,19
1730124467.544816,19
1730124467.6732614,19
1730124467.8012397,16
1730124467.9256709,16
1730124468.054116,16
1730124468.1825607,16
1730124468.2949514,16
1730124468.4073403,16
1730124468.533813,16
1730124468.6462026,16
1730124468.7746477,17
1730124468.8870373,16
1730124469.0124722,16
1730124469.1385622,16
1730124469.2494676,15
1730124469.366875,19
1730124469.4938352,18
1730124469.6202729,16
1730124469.7467113,21
1730124469.8611057,20
1730124469.9835296,18
1730124470.1099682,21
1730124470.2354035,18
1730124470.3628445,21
1730124470.4882798,20
1730124470.613224,19
1730124470.7256136,22
1730124470.8510482,21
1730124470.976483,21
1730124471.1029212,19
1730124471.2153108,18
1730124471.3277004,20
1730124471.4400902,21
1730124471.566528,19
1730124471.678918,21
1730124471.8053532,20
1730124471.9217956,20
1730124472.058269,18
1730124472.1696553,17
1730124472.2981005,20
1730124472.425542,18
1730124472.552509,21
1730124472.6809547,19
1730124472.8073902,21
1730124472.9338286,18
1730124473.062274,21
1730124473.1888523,20
1730124473.3193038,21
1730124473.4457426,19
1730124473.5741875,20
1730124473.7026327,20
1730124473.8306103,22
1730124473.955042,20
1730124474.083487,18
1730124474.2119296,20
1730124474.340375,21
1730124474.466813,18
1730124474.5927582,20
1730124474.7046652,22
1730124474.8290944,21
1730124474.9545293,21
1730124475.0659153,20
1730124475.1923537,22
1730124475.3047435,21
1730124475.4331884,20
1730124475.5455778,19
1730124475.6579676,21
1730124475.784473,20
1730124475.898869,18
1730124476.0253077,18
1730124476.151746,20
1730124476.2801917,20
1730124476.4066296,18
1730124476.53458,19
1730124476.6640286,18
1730124476.7884603,20
1730124476.9174294,18
1730124477.0428646,20
1730124477.1713092,20
1730124477.2977483,21
1730124477.4221792,18
1730124477.5526316,21
1730124477.6790698,19
1730124477.807515,21
1730124477.9319468,19
1730124478.0623982,18
1730124478.1878338,20
1730124478.3152747,21
1730124478.427665,21
1730124478.5556276,21
1730124478.6820655,20
1730124478.8105106,16
1730124478.9229004,17
1730124479.050342,16
1730124479.1617286,16
1730124479.2876852,16
1730124479.4161303,16
1730124479.5430918,16
1730124479.6554816,17
1730124479.7814448,16
1730124479.8938346,16
1730124480.008231,16
1730124480.1205654,16
1730124480.2623482,15
1730124480.390794,17
1730124480.5172324,20
1730124480.6441891,21
1730124480.771693,20
1730124480.9001346,18
1730124481.0245657,19
1730124481.153011,18
1730124481.2794487,21
1730124481.4068913,17
1730124481.532326,15
1730124481.6607711,18
1730124481.7892146,20
1730124481.9171674,19
1730124482.0456128,20
1730124482.1871035,20
1730124482.314545,22
1730124482.4409833,20
1730124482.5699499,19
1730124482.6953855,18
1730124482.8223443,21
1730124482.949786,20
1730124483.0772276,19
1730124483.2046695,19
1730124483.3311076,19
1730124483.459553,22
1730124483.587998,20
1730124483.7164433,20
1730124483.8468933,19
1730124483.9733315,21
1730124484.1138186,19
1730124484.2262084,21
1730124484.3526468,19
1730124484.4810915,18
1730124484.6090536,20
1730124484.7354913,20
1730124484.8594382,21
1730124484.987883,19
1730124485.118335,21
1730124485.2447736,18
1730124485.3772323,22
1730124485.503671,18
